listing;price; area; rooms; fullrooms; halfrooms; district; varos; condition; floor; storeys; lift; heating; view; lat; long; orient; parking; balcony; aircon; ceiling; utility; bathtoil; garcess
22915721;26;38;1 + fél szoba;1;1;6. ker;Külső-Terézváros;felújított;földszint;4;van;elektromos;kertre néző;47.5127;19.06856;nincs megadva;utcán. közterületen - fizetős;;nincs;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
22916035;23.7;47;3 szoba;3;0;7. ker;Külső-Erzsébetváros – Ligetváros;felújított;földszint;nincs megadva;van;gáz (konvektor);udvari;47.50732;19.08028;északkelet;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22915749;27.5;78;2 szoba;2;0;6. ker;Külső-Terézváros;közepes állapotú;földszint;nincs megadva;nincs;gáz (cirko);nincs megadva;47.513428;19.066608;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22915712;23.5;47;1 + 2 fél szoba;1;2;7. ker;Külső-Erzsébetváros – Ligetváros;újszerű;földszint;nincs megadva;van;gáz (konvektor);nincs megadva;47.505783;19.080433;északkelet;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nem tetőtéri
22915665;45;54;2 szoba;2;0;5. ker;Belváros;felújított;3;nincs megadva;van;gáz (cirko);panorámás;47.48819;19.05923;délnyugat;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;nincs megadva;nincs megadva
22915610;51.9;80;3 szoba;3;0;6. ker;Belső-Terézváros;nincs megadva;1;nincs megadva;van;gáz (konvektor);utcai;47.50132;19.05914;északkelet;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22915671;59;79;2 szoba;2;0;6. ker;Belső-Terézváros;nincs megadva;4;nincs megadva;van;házközponti;utcai;47.505077;19.058195;kelet;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22915566;58;100;4 szoba;4;0;7. ker;Belső-Erzsébetváros;felújított;3;nincs megadva;van;gáz (konvektor);panorámás;47.495834;19.065235;dél;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;egy helyiségben;nincs megadva
22915987;17.8;21;1 szoba;1;0;6. ker;Külső-Terézváros;jó állapotú;3;nincs megadva;nincs;gáz (konvektor);udvari;47.50612;19.06817;délkelet;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22915716;24.99;66;2 + fél szoba;2;1;7. ker;Külső-Erzsébetváros;felújítandó;1;nincs megadva;nincs;gáz (konvektor);nincs megadva;47.505295;19.080984;északnyugat;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nem tetőtéri
22916088;15;34;1 szoba;1;0;7. ker;Külső-Erzsébetváros – Ligetváros;közepes állapotú;földszint;nincs megadva;nincs;gáz (konvektor);udvari;47.50639;19.08065;délnyugat;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22916153;28.5;29;1 szoba;1;0;6. ker;Külső-Terézváros;újszerű;2;5;van;házközponti egyedi méréssel;utcai;47.51175;19.06733;nincs megadva;teremgarázs - az árban;;van;3 m-nél alacsonyabb;összkomfortos;egy helyiségben;nincs megadva
22915338;64.9;111;4 szoba;4;0;5. ker;Lipótváros;felújított;földszint;4;van;gáz (cirko);udvari;47.50794;19.049728;északkelet;utcán. közterületen - fizetős;;nincs;3 m vagy magasabb;duplakomfortos;egy helyiségben;nem tetőtéri
22915715;25.9;62;2 szoba;2;0;7. ker;Középső-Erzsébetváros;jó állapotú;félemelet;nincs megadva;nincs;gáz (cirko);nincs megadva;47.50198;19.07244;délnyugat;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22915575;49.9;51;1 + fél szoba;1;1;5. ker;Lipótváros;újszerű;5;5;van;gáz (cirko);panorámás;47.50115;19.0507;északkelet;utcán. közterületen - fizetős;;nincs megadva;3 m-nél alacsonyabb;komfortos;egy helyiségben;legfelső emelet. nem tetőtéri
22914575;39.9;61;1 + 2 fél szoba;1;2;7. ker;Középső-Erzsébetváros;újszerű;3;nincs megadva;van;elektromos;nincs megadva;47.50075;19.073757;északkelet;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22914442;31.99;59;2 szoba;2;0;6. ker;Belső-Terézváros;jó állapotú;2;nincs megadva;van;gáz (konvektor);udvari;47.505077;19.058195;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22914974;10.5;10;1 szoba;1;0;6. ker;Külső-Terézváros;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;47.50927;19.06557;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22914873;40;85;3 + fél szoba;3;1;6. ker;Külső-Terézváros – Diplomatanegyed;felújított;3;5;van;gáz (héra);utcai;47.51184;19.069118;kelet;utcán. közterületen - fizetős;;nincs;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
22914459;41.9;56;3 szoba;3;0;7. ker;Belső-Erzsébetváros;felújított;1;nincs megadva;nincs megadva;nincs megadva;udvari;47.499615;19.06628;délkelet;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;egy helyiségben;nincs megadva
22914384;39.9;59;1 szoba;1;0;5. ker;Belváros;jó állapotú;3;nincs megadva;van;házközponti;udvari;47.49175;19.054825;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22914344;130;132;3 + fél szoba;3;1;5. ker;Lipótváros;felújítandó;3;3;nincs megadva;nincs megadva;utcai;47.50118;19.05175;nincs megadva;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;külön helyiségben;nincs megadva
22915135;47.99;74;2 + fél szoba;2;1;7. ker;Külső-Erzsébetváros – Ligetváros;újszerű;2;nincs megadva;van;egyéb;nincs megadva;47.505783;19.080433;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22915264;16.95;34;1 + fél szoba;1;1;7. ker;Külső-Erzsébetváros;jó állapotú;1;nincs megadva;nincs;gáz (konvektor);nincs megadva;47.502556;19.08228;délkelet;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22915258;74;116;2 + fél szoba;2;1;6. ker;Belső-Terézváros;közepes állapotú;2;nincs megadva;nincs;gáz (konvektor);nincs megadva;47.50491;19.05513;kelet;nincs megadva;0;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22915262;19.6;33;1 szoba;1;0;6. ker;Külső-Terézváros;jó állapotú;1;nincs megadva;van;gáz (konvektor);nincs megadva;47.50927;19.06557;nincs megadva;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22914655;83;124;4 szoba;4;0;7. ker;Belső-Erzsébetváros;jó állapotú;2;4;nincs;gáz (cirko);udvari;47.498585;19.063519;délkelet;utcán. közterületen - fizetős;;nincs megadva;3 m vagy magasabb;duplakomfortos;külön és egyben is;nem tetőtéri
22915005;48.25;71;3 szoba;3;0;5. ker;Lipótváros;felújított;3;6;van;házközponti;udvari;47.50423;19.047161;nincs megadva;utcán. közterületen - fizetős;;nincs megadva;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
22914380;28.5;29;1 szoba;1;0;6. ker;Külső-Terézváros;újszerű;nincs megadva;5;van;házközponti egyedi méréssel;utcai;47.51175;19.06733;északkelet;garázs - az árban;;nincs megadva;3 m-nél alacsonyabb;összkomfortos;nincs megadva;nincs megadva
22914338;46.9;89;2 + 2 fél szoba;2;2;7. ker;Belső-Erzsébetváros;felújított;4;4;van;gáz (cirko);utcai;47.49814;19.064728;nincs megadva;utcán. közterületen - fizetős;;nincs megadva;3 m vagy magasabb;összkomfortos;külön helyiségben;zárószint
22915131;13.5;44;1 + 2 fél szoba;1;2;7. ker;Középső-Erzsébetváros;felújítandó;földszint;4;nincs;gáz (konvektor);kertre néző;47.498405;19.07431;délkelet;utcán. közterületen - fizetős;;nincs;3 m vagy magasabb;komfort nélküli;külön helyiségben;nem tetőtéri
22915100;16.5;58;2 szoba;2;0;7. ker;Külső-Erzsébetváros;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;47.50214;19.08475;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22915103;32.9;55;2 + fél szoba;2;1;6. ker;Külső-Terézváros;felújított;5;6;van;gáz (cirko);udvari;47.513428;19.066608;délnyugat;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
22914906;18.95;40;1 szoba;1;0;7. ker;Középső-Erzsébetváros;közepes állapotú;2;nincs megadva;nincs megadva;gáz (konvektor);nincs megadva;47.50512;19.07054;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22915111;31.9;28;1 szoba;1;0;5. ker;Lipótváros;felújított;6;6;van;házközponti egyedi méréssel;panorámás;47.51121;19.050098;északkelet;utcán. közterületen - fizetős;0;nincs;3 m vagy magasabb;összkomfortos;külön helyiségben;legfelső emelet. nem tetőtéri
22914106;49.9;107;3 + fél szoba;3;1;6. ker;Külső-Terézváros;felújított;3;nincs megadva;nincs;gáz (konvektor);utcai;47.5099;19.06571;északkelet;utcán. közterületen - ingyenes;;nincs;3 m vagy magasabb;összkomfortos;külön és egyben is;legfelső emelet. nem tetőtéri
22914276;43;42;2 szoba;2;0;6. ker;Belső-Terézváros;újszerű;3;nincs megadva;van;házközponti;nincs megadva;47.50428;19.05797;dél;nincs megadva;;nincs megadva;3 m-nél alacsonyabb;nincs megadva;nincs megadva;nem tetőtéri
22914166;41.49;56;2 szoba;2;0;5. ker;Belváros;jó állapotú;1;nincs megadva;van;elektromos;nincs megadva;47.49175;19.054825;kelet;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22914047;36.9;60;1 + 2 fél szoba;1;2;6. ker;Belső-Terézváros;felújított;földszint;nincs megadva;van;gáz (cirko);udvari;47.505077;19.058195;délkelet;utcán. közterületen - fizetős;0;nincs;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
22913692;43.6;100;3 szoba;3;0;6. ker;Külső-Terézváros;felújított;félemelet;nincs megadva;van;gáz (cirko);utcai;47.510517;19.064243;északnyugat;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22913576;95;114;4 szoba;4;0;6. ker;Belső-Terézváros;jó állapotú;1;nincs megadva;van;gáz (cirko);nincs megadva;47.50491;19.05513;északkelet;nincs megadva;0;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nem tetőtéri
22914059;52.9;95;2 + fél szoba;2;1;7. ker;Belső-Erzsébetváros;felújított;2;4;van;gáz (cirko);utcai;47.49814;19.064728;nyugat;utcán. közterületen - fizetős;;nincs;3 m vagy magasabb;összkomfortos;külön és egyben is;nem tetőtéri
22914259;28.5;29;1 szoba;1;0;6. ker;Külső-Terézváros;újszerű;2;5;van;házközponti egyedi méréssel;utcai;47.51175;19.06733;északkelet;nincs megadva;;nincs megadva;3 m-nél alacsonyabb;összkomfortos;egy helyiségben;nem tetőtéri
22913526;34.5;91;2 szoba;2;0;6. ker;Külső-Terézváros;nincs megadva;félemelet;nincs megadva;van;gáz (cirko);utcai;47.508846;19.066628;északnyugat;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22913680;14.4;25;1 szoba;1;0;7. ker;Középső-Erzsébetváros;közepes állapotú;földszint;nincs megadva;nincs;gáz (konvektor);nincs megadva;47.50396;19.07257;nyugat;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22913866;34;46;1 szoba;1;0;6. ker;Belső-Terézváros;felújított;1;3;van;nincs megadva;utcai;47.50132;19.05914;nincs megadva;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;nincs megadva;nincs megadva
22914006;450;286;5 szoba;5;0;5. ker;Belváros;új építésű;5;5;van;fan-coil;utcai;47.496605;19.050991;nincs megadva;garázs - megvehető;58;van;nincs megadva;luxus;külön és egyben is;nincs megadva
