listing;price; area; rooms; fullrooms; halfrooms; district; varos; condition; floor; storeys; lift; heating; view; lat; long; orient; parking; balcony; aircon; ceiling; utility; bathtoil; garcess
22548995;150;51;2 szoba;2;0;7. ker;Belső-Erzsébetváros;felújított;2;2;nincs;házközponti;kertre néző;47.49987;19.06466;nincs megadva;utcán, közterületen - fizetős;;nincs megadva;nincs megadva;nincs megadva;külön helyiségben;nem tetőtéri
22554657;467;97;2 szoba;2;0;6. ker;Külső-Terézváros;új építésű;5;6;van;házközponti;udvari;47.50808;19.06766;nincs megadva;garázs - az árban;0;van;nincs megadva;luxus;külön helyiségben;nincs megadva
22552266;470;110;3 szoba;3;0;5. ker;Lipótváros;jó állapotú;1;6;van;házközponti;nincs megadva;47.50877;19.04937;nincs megadva;utcán, közterületen - ingyenes;0;van;nincs megadva;luxus;külön helyiségben;nincs megadva
22548897;109;31;1 szoba;1;0;6. ker;Külső-Terézváros;felújított;2;nincs megadva;van;gáz (cirko);udvari;47.5099;19.06571;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22549013;468;100;2 + fél szoba;2;1;5. ker;Belváros;jó állapotú;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;47.48911;19.054;nincs megadva;garázs - az árban;0;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22552232;250;83;2 szoba;2;0;5. ker;Belváros;jó állapotú;3;4;van;gáz (cirko);panorámás;47.49129;19.0544;nincs megadva;utcán, közterületen - ingyenes;;nincs megadva;nincs megadva;nincs megadva;külön helyiségben;nincs megadva
22554597;686;175;3 szoba;3;0;6. ker;Külső-Terézváros;új építésű;2;6;van;nincs megadva;udvari;47.50808;19.06766;nincs megadva;garázs - az árban;0;van;nincs megadva;luxus;külön helyiségben;nincs megadva
22552298;682;105;3 szoba;3;0;5. ker;Belváros;felújított;1;5;van;gáz (cirko);nincs megadva;47.48828;19.05778;nincs megadva;utcán, közterületen - ingyenes;;van;nincs megadva;luxus;külön helyiségben;nincs megadva
22554695;374;75;1 szoba;1;0;6. ker;Külső-Terézváros;új építésű;3;5;van;házközponti;udvari;47.50808;19.06766;nincs megadva;garázs - az árban;0;van;nincs megadva;luxus;külön helyiségben;nincs megadva
22555053;280;61;1 szoba;1;0;6. ker;Külső-Terézváros;új építésű;2;5;van;házközponti;nincs megadva;47.50808;19.06766;nincs megadva;garázs - az árban;0;van;nincs megadva;luxus;külön helyiségben;nincs megadva
22553335;180;74;3 szoba;3;0;6. ker;Külső-Terézváros;felújított;3;4;nincs;gáz (cirko);utcai;47.5127;19.06856;nincs megadva;utcán, közterületen - fizetős;;nincs megadva;nincs megadva;összkomfortos;külön helyiségben;legfelső emelet, nem tetőtéri
22543091;561;100;2 szoba;2;0;6. ker;Belső-Terézváros;felújított;2;4;van;gáz (cirko);utcai;47.50375;19.05801;nincs megadva;garázs - az árban;0;van;nincs megadva;összkomfortos;külön helyiségben;nincs megadva
22542235;200;88;3 szoba;3;0;6. ker;Belső-Terézváros;jó állapotú;2;2;van;gáz (konvektor);udvari;47.50508;19.05703;nincs megadva;utcán, közterületen - ingyenes;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22542824;185;155;3 szoba;3;0;5. ker;Belváros;új építésű;4;4;van;egyéb;utcai;47.49059;19.0587;nincs megadva;garázs - az árban;;van;nincs megadva;luxus;külön helyiségben;tetőtéri
22545496;120;38;1 + fél szoba;1;1;6. ker;Belső-Terézváros;felújított;1;4;van;gáz (cirko);nincs megadva;47.502148;19.05624;nincs megadva;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;nincs megadva;nincs megadva
22545846;200;60;2 szoba;2;0;5. ker;Lipótváros;nincs megadva;2;5;van;gáz (cirko);utcai;47.51121;19.050098;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;külön helyiségben;nincs megadva
22548624;140;73;2 szoba;2;0;7. ker;Külső-Erzsébetváros;felújított;1;3;nincs;gáz (cirko);utcai;47.505295;19.080984;dél;utcán, közterületen - fizetős;;nincs;nincs megadva;összkomfortos;egy helyiségben;nem tetőtéri
22542900;467;121;2 szoba;2;0;5. ker;Lipótváros;felújított;3;4;van;egyéb;utcai;47.50115;19.0507;nincs megadva;nincs megadva;;van;nincs megadva;összkomfortos;külön helyiségben;nincs megadva
22545739;468;123;4 szoba;4;0;7. ker;Belső-Erzsébetváros;felújított;1;nincs megadva;van;házközponti egyedi méréssel;utcai;47.49674;19.05748;kelet;utcán, közterületen - fizetős;0;van;3 m vagy magasabb;duplakomfortos;egy helyiségben;nincs megadva
22537576;350;77;2 szoba;2;0;6. ker;Külső-Terézváros – Diplomatanegyed;jó állapotú;1;nincs megadva;van;házközponti;udvari;47.51566;19.07547;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22545058;185;23;1 szoba;1;0;5. ker;Lipótváros;felújított;3;3;van;elektromos;udvari;47.50008;19.053358;kelet;utcán, közterületen - fizetős;;van;3 m-nél alacsonyabb;luxus;külön helyiségben;legfelső emelet, nem tetőtéri
22538606;185;168;3 szoba;3;0;5. ker;Belváros;új építésű;5;5;van;gáz (cirko);utcai;47.49059;19.0587;nincs megadva;garázs - az árban;;nincs megadva;nincs megadva;nincs megadva;külön helyiségben;nincs megadva
22547357;180;74;2 szoba;2;0;5. ker;Belváros;jó állapotú;1;nincs megadva;van;házközponti;utcai;47.49539;19.05885;délnyugat;nincs megadva;;nincs;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
22545753;623;138;3 + fél szoba;3;1;5. ker;Lipótváros;felújított;4;4;van;gáz (cirko);utcai;47.50749;19.051497;nincs megadva;utcán, közterületen - ingyenes;;van;nincs megadva;duplakomfortos;külön helyiségben;nincs megadva
22536305;436;80;3 szoba;3;0;6. ker;Belső-Terézváros;új építésű;6;nincs megadva;van;házközponti egyedi méréssel;nincs megadva;47.505077;19.058195;nincs megadva;nincs megadva;10;van;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22544856;999;147;4 szoba;4;0;5. ker;Belváros;felújított;1;nincs megadva;van;nincs megadva;panorámás;47.48911;19.054;nyugat;kültéri - az árban;;van;3 m vagy magasabb;luxus;külön és egyben is;nincs megadva
22545976;390;100;3 szoba;3;0;6. ker;Külső-Terézváros;felújított;2;4;van;gáz (cirko);utcai;47.50808;19.06766;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;külön helyiségben;nincs megadva
22544561;190;79;3 szoba;3;0;5. ker;Belváros;felújított;1;3;nincs;gáz (cirko);utcai;47.4923;19.06044;nincs megadva;utcán, közterületen - ingyenes;;nincs megadva;3 m vagy magasabb;összkomfortos;nincs megadva;nincs megadva
22547683;100;43;1 + fél szoba;1;1;7. ker;Külső-Erzsébetváros;felújított;földszint;4;nincs megadva;gáz (konvektor);nincs megadva;47.50199;19.08865;nincs megadva;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;egy helyiségben;nincs megadva
22546283;165;64;2 szoba;2;0;6. ker;Külső-Terézváros;felújított;4;nincs megadva;van;gáz (cirko);nincs megadva;47.50991;19.06716;nincs megadva;utcán, közterületen - fizetős;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nem tetőtéri
22538544;452;123;1 szoba;1;0;5. ker;Belváros;jó állapotú;3;5;van;házközponti;nincs megadva;47.49607;19.052185;nincs megadva;garázs - az árban;0;nincs megadva;nincs megadva;összkomfortos;külön helyiségben;nincs megadva
